Hours delivered per month;Audio only;SD;HD;Full HD
First 10,000 hours;$0.0100;$0.0500;$0.1000;$0.2000
Next 40,000 hours;$0.0094;$0.0470;$0.0940;$0.1880
Next 100,000 hours;$0.0086;$0.0430;$0.0860;$0.1720
Next 350,000 hours;$0.0078;$0.0390;$0.0780;$0.1560
Over 500,000 hours;$0.0068;$0.0340;$0.0680;$0.1360
